treatment	x	y	date01	date02	date03	date04	date05	date06	date07	date08	date09	date10	date11	date12	date13
tuteur	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
tuteur	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0
tuteur	1	4	0	0	1	0	1	1	1	1	1	1	1	1	1
tuteur	1	5	0	0	0	0	1	1	1	1	1	1	1	1	2
tuteur	1	6	0	0	0	0	1	1	1	1	2	1	2	2	2
tuteur	1	7	0	0	0	0	1	1	1	1	2	2	1	1	1
tuteur	1	8	0	0	0	0	0	1	1	0	1	1	1	1	1
tuteur	1	9	0	0	1	0	0	1	1	1	1	1	1	2	1
tuteur	1	10	0	0	0	0	1	1	1	1	1	1	2	2	1
tuteur	1	11	0	0	0	1	0	0	1	0	1	1	1	2	1
tuteur	1	12	0	0	1	0	0	1	1	1	1	1	1	1	1
tuteur	1	13	1	1	1	1	1	1	1	1	1	1	1	2	1
tuteur	1	14	0	0	0	0	0	1	1	1	1	1	1	NA	NA
tuteur	2	1	0	0	0	0	1	2	5	3	7	7	8	NA	0
tuteur	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
tuteur	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0
tuteur	2	4	0	0	0	0	0	0	0	0	0	0	1	0	1
tuteur	2	5	0	0	0	0	1	1	1	1	1	2	2	2	1
tuteur	2	6	0	0	0	0	1	1	1	1	1	1	1	1	1
tuteur	2	7	0	0	0	0	0	1	1	1	1	1	2	2	2
tuteur	2	8	0	0	0	0	0	0	1	0	0	0	0	0	1
tuteur	2	9	0	0	0	0	0	0	NA	NA	NA	NA	0	0	NA
tuteur	2	10	0	1	1	1	2	2	3	2	3	3	3	3	1
tuteur	2	11	0	0	0	1	1	0	1	0	1	0	1	1	1
tuteur	2	12	0	0	0	0	0	1	1	1	0	1	1	1	1
tuteur	2	13	0	1	0	0	0	0	0	0	0	1	1	1	1
tuteur	2	14	0	0	0	0	0	0	0	0	0	0	0	0	1
tuteur	3	1	0	0	1	2	3	3	4	1	4	6	9	NA	NA
tuteur	3	2	0	0	1	1	1	1	1	0	1	1	1	2	2
tuteur	3	3	0	0	0	0	0	0	1	0	1	2	1	1	2
tuteur	3	4	0	0	0	0	0	1	1	1	NA	NA	NA	NA	NA
tuteur	3	5	0	0	0	0	0	1	0	0	0	1	1	0	1
tuteur	3	6	0	0	0	1	0	1	0	0	0	0	0	0	1
tuteur	3	7	1	1	1	1	1	1	1	1	1	1	2	2	2
tuteur	3	8	0	1	1	1	1	1	1	1	1	1	1	1	1
tuteur	3	9	0	0	0	1	1	1	1	1	1	NA	NA	NA	NA
tuteur	3	10	0	0	0	1	1	1	1	1	1	1	2	3	1
tuteur	3	11	0	0	0	1	1	1	1	1	1	1	1	2	2
tuteur	3	12	0	0	0	0	1	0	1	0	1	0	1	1	1
tuteur	3	13	0	0	0	0	1	1	1	0	1	1	1	1	1
tuteur	3	14	0	0	0	0	1	1	1	0	1	1	1	1	1
tuteur	4	1	0	0	0	0	1	1	1	1	2	2	2	2	2
tuteur	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1
tuteur	4	3	0	0	0	0	0	1	0	0	0	0	0	1	1
tuteur	4	4	0	0	0	0	0	1	2	0	1	1	1	1	1
tuteur	4	5	0	0	0	0	1	0	0	0	1	0	0	0	1
tuteur	4	6	0	1	1	0	1	0	1	0	1	1	1	1	1
tuteur	4	7	0	0	0	0	1	0	1	1	1	1	1	1	1
tuteur	4	8	0	0	0	1	0	0	0	0	0	0	1	1	1
tuteur	4	9	0	0	0	0	0	0	1	0	1	0	1	1	1
tuteur	4	10	0	1	0	0	1	1	0	1	1	1	1	1	1
tuteur	4	11	0	0	0	0	0	0	0	0	0	1	1	1	1
tuteur	4	12	0	0	0	0	0	0	0	0	0	0	1	0	1
tuteur	4	13	0	0	0	0	1	1	1	1	1	1	1	2	1
tuteur	4	14	0	0	0	0	0	1	1	1	1	1	1	1	1
tuteur	5	1	0	0	0	1	2	1	0	0	1	0	1	1	1
tuteur	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0
