Country.Region,b,Asym,xmid,P(b),P(Asym),P(xmid),deviance,converged,nbiter
Colombia,0.04776673657822705,10214.471013958622,18370.355776605647,1.2571301042116423e-43,9.846740815055255e-34,3.1413686342034587e-299,320361.84927493776,1,13
"Congo, Rep.",0.04397444192234269,812.8764533860339,18383.63663048342,1.177287437480384e-9,0.0012176160251409166,3.3830473842149015e-233,3658.3406642384275,1,18
"Congo, Dem. Rep.",0.047233754884061514,759.7975768022491,18367.68039907191,5.6313572048830815e-37,4.593503256175143e-30,5.72502005512341e-293,3692.810553368786,1,13
Costa Rica,0.08999892142700741,758.0551250092907,18349.105006397636,2.343322294056718e-82,3.41592946443296e-114,0,3524.8706472180484,1,21
Cote d'Ivoire,0.048295571884736106,2426.447573684221,18372.483278577412,1.0896402343737396e-35,7.4421197758771645e-25,9.449087536252081e-289,21347.591441901193,1,13
Croatia,0.08734556288633473,2248.1907003661026,18351.721501340795,1.8664534086827374e-87,9.303966733629452e-115,0,19306.762463086445,1,22
Cuba,0.05691190678839264,2563.410721911459,18369.379797620684,1.8292502660829955e-76,5.3635304708992054e-68,0,4086.0770368863327,1,14
Curacao,0.12358871212566987,15.135295816446273,18344.881211281387,4.763613223356533e-38,4.0842783686623346e-84,0,23.269346796582184,1,20
Cyprus,0.08552158939425704,960.4837054872947,18353.922923291277,4.337843862165153e-56,8.322869071154151e-79,0,14646.376661570466,1,24
Czechia,0.09039587312222619,7980.6427892265265,18350.50829842197,1.7996763680284605e-88,1.1087549318863953e-118,0,261035.32185176504,1,23
Denmark,0.052145589459334354,12319.250349263206,18357.851629833927,1.9667703226409794e-41,2.6986549956080112e-45,4.466791923786e-311,2303113.6284410474,1,18
Djibouti,0.16813915401812335,1263.6793802708523,18366.555079278096,1.1848971454838772e-27,2.1732712314834447e-44,0,56801.769191565974,1,26
Dominica,0.2517638726277069,15.748019869234007,18345.916197671155,3.0599191316514488e-27,3.6799135072879375e-92,0,44.892805166169836,1,23
Dominican Republic,0.0449544330124734,14298.139159659333,18373.916622733763,3.3404126184468885e-50,6.673941122123568e-36,2.8526317789995075e-301,268495.652462597,1,15
Ecuador,0.01023398378456331,36452038.377264574,18575.331526057224,0.3061691552255927,0.9037385715401054,5.070917406165521e-77,117935957.17810446,0,50
"Egypt, Arab Rep.",0.027550203253188108,24091.893010650907,18396.744044342777,6.930376914655453e-56,9.641866520822507e-26,2.9378597096966475e-277,52914.71857448008,1,28
El Salvador,0.05383249002533421,587.5673686803435,18371.96633249439,6.2748304748104664e-52,1.8223280304318511e-40,1.560248629626e-312,522.8963318363344,1,15
Equatorial Guinea,0.015070362022758124,11006737.05893503,18535.25969092721,0.5530192815912643,0.9595920837350687,5.986090303234647e-67,14244.262070973993,0,50
Eritrea,0.18702582805802662,38.74824331897421,18351.36949386476,2.9537728948583755e-45,3.9402815777278756e-99,0,83.8400064326082,1,13
Estonia,0.07357230950204471,1879.7758367723961,18350.0793556799,4.285566266619047e-59,5.802253822639021e-82,0,55632.95892309591,1,21
Eswatini,0.007380392509495012,855400.5533335542,18688.579813123255,0.37093553984028194,0.9342151130776135,1.2070715842851757e-56,526.6871570025131,0,50
Ethiopia,0.05338507499696106,221.96055519659066,18366.130486951424,1.881078040583079e-40,4.2757792349254914e-36,2.829570143996536e-304,323.9281846140804,1,14
Falkland Islands,0.18238759835812496,13.393740165489614,18361.631690047536,1.447690964141107e-17,6.78238029421288e-45,0,31.052091889064403,1,20
Faroe Islands,0.20021573747923532,185.95958568130692,18340.164508120204,5.6313246743840564e-73,7.507665076676798e-142,0,575.2888681841282,1,18
Fiji,0.11294221856660722,19.76437970285808,18351.674429996252,7.208694062915868e-24,1.7095972198361012e-54,0,66.30467256647918,1,15
Finland,0.04787577566154,7312.293089962226,18362.21073465044,9.511680471661411e-63,1.2146575806064573e-60,0,153661.27171396202,1,24
France,0.059704185727485044,243466.6055812502,18359.83081805987,3.579471736512299e-33,2.678194992187322e-37,5.0944823211447456e-307,1364062739.9134617,1,14
French Guiana,0.0710619742964637,128.21872812099846,18352.33192086984,2.1332000820341493e-36,9.806368103591189e-54,0,747.2851847404901,1,21
French Polynesia,0.11105888779755689,59.09135206549966,18345.520528201585,3.026568357160468e-47,7.005322582985435e-90,0,193.82724331810903,1,21
Gabon,0.030099023730103043,2406.1510062204925,18407.922721030067,2.7424205865172205e-8,0.0689860591046627,2.5829641700052842e-204,1606.5984144172646,1,21
"Gambia, The",0.04872078810128426,17.524981024885793,18361.692479360256,6.932994630595724e-9,1.7713598529337742e-8,2.1651130522739975e-251,42.82550496317071,1,22
Georgia,0.03211439174565105,1431.6858143636152,18380.15937705825,1.484818096582986e-30,1.090482435555709e-15,8.103704627189954e-261,5086.481913335457,1,24
Germany,0.08957685121855924,169852.054668416,18350.087616967954,1.643795126162361e-100,4.79064753612079e-131,0,65725032.393389165,1,12
Ghana,0.025923898956656918,15933.034596625253,18411.825807982405,9.939417753178978e-9,0.054399230008607524,3.4770549293348025e-200,91191.57832480803,1,21
Gibraltar,0.1584804808887998,137.24097813181493,18348.616963448218,1.9057519302752302e-58,3.683034851052912e-111,0,561.697540214812,1,23
Greece,0.07701640980115385,2755.8933822726667,18347.810349481086,9.944432951374042e-66,3.5924733982333826e-93,0,103441.81859488133,1,20
Greenland,0.257001447229376,11.098218242523718,18343.390082903432,1.653007068671682e-35,2.0022491258480065e-105,0,13.350986941698498,1,21
Grenada,0.19080377738926194,14.590539449036312,18347.90123836704,1.3961348193161094e-26,3.7228180407517583e-81,0,42.43016519219336,1,13
Guadeloupe,0.14728935425294795,150.80234281613335,18343.324187429796,1.0589112436753184e-54,1.888325749080903e-110,0,989.5839617843993,1,17
Guatemala,0.010779786928157634,1341153.8254405975,18569.887748011035,6.222464517115175e-5,0.637247589340354,2.932121965913448e-134,3738.604296974283,0,50
Guinea,0.034151887729117335,10304.83288302894,18401.80621217684,1.8570259019669535e-26,4.806234284165792e-6,1.1556699818878455e-246,7617.2135053420425,1,26
Guinea-Bissau,0.15044312333714308,53.67719587668888,18356.624694907357,5.813663917457603e-36,1.7418243876940759e-72,0,186.4348217330689,1,14
Guyana,0.048912221980492804,143.35548467910496,18367.42332612705,1.9960060557424764e-13,3.2606728523985223e-10,4.979304239029795e-259,821.225925204631,1,26
Haiti,0.029144534741271495,353.3779593530188,18392.97207711031,4.811324378187542e-13,4.492410456731631e-4,9.410968653703242e-223,292.6105985695977,1,21
Vatican,0.14460745233308167,8.714158969519575,18345.288242389204,3.85860397834108e-23,5.811525541289547e-70,0,21.139458218213655,1,28
Honduras,0.0874604338426115,646.1828950042649,18356.129206484253,2.619369554111504e-35,7.758251467439662e-54,0,18027.382720976642,1,12
Hungary,0.04556589205869832,5429.309178477191,18371.749869018044,1.3072763213547007e-44,5.2644057688273864e-33,3.405531310114387e-297,71263.7533404857,1,20
Iceland,0.10952025446010379,1893.6971811860246,18345.05173766726,3.7929644707382177e-65,5.950923271780119e-109,0,77288.52194180147,1,19
