"ISO_A3","Country","AUC_confirmed","AUC_deaths","AUC_recovered","AUC_confirmed_pmillion","AUC_deaths_pmillion","AUC_recovered_pmillion","date_first_cases","days_since_first_cases","AUC_SI","date_SI_sup0","date_SI_sup50","date_SI_max","SI_max","residential_change","residential_date_split","mobility_change_index","mobility_change_index_date_split"
"CRI","Costa Rica",20493.5,143,143,4022.97632129945,28.0716136309474,28.0716136309474,"2020-03-06",55,4014.695,-32,10,52,81.61,21.6789772727273,11,55.3701330162086,11
"CUB","Cuba",25707.5,859.5,859.5,2269.65406084218,75.883211720076,75.883211720076,"2020-03-12",49,3571.815,-44,12,36,83.07,"NA","NA","NA","NA"
"CUW","Curacao",498,42.5,42.5,3034.73491773309,258.988421694089,258.988421694089,"2020-03-14",47,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CYM","Cayman Islands",1687.5,45.5,45.5,25677.1150334754,692.331101643335,692.331101643335,"2020-03-13",48,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CYP","Cyprus",21510,387.5,387.5,17815.7154322527,320.947918642394,320.947918642394,"2020-03-09",52,4222.76,-4,7,15,94.71,"NA","NA","NA","NA"
"CZE","Czechia",206144,4574,4574,19249.6354928975,427.118095819005,427.118095819005,"2020-03-01",60,4445,-37,11,22,83.07,"NA","NA","NA","NA"
"DEU","Germany",4450178.5,115834.5,115834.5,53114.9315062689,1382.53814618063,1382.53814618063,"2020-01-27",94,4306.315,-3,51,70,81.75,12.6637992831541,49,39.8638006280371,49.5
"DJI","Djibouti",15863.5,40,40,16056.1415867579,40.4857480045587,40.4857480045587,"2020-03-18",43,3890.14,0,5,38,100,"NA","NA","NA","NA"
"DMA","Dominica",531,0,0,7375.92199024878,0,0,"2020-03-22",39,2805.21,0,10,10,86.24,"NA","NA","NA","NA"
"DNK","Denmark",223940,9409,9409,38662.31898295,1624.42511079118,1624.42511079118,"2020-02-27",63,4427.885,0,13,20,84.12,13.8584615384615,13,44.5506213609204,13
"DOM","Dominican Republic",118586,5621.5,5621.5,10931.697035667,518.210706879412,518.210706879412,"2020-03-01",60,4166.59,1,18,58,98.02,27.1937984496124,17,69.1169837914024,17
"DZA","Algeria",72322,9296,9296,1649.2652181614,211.990396670839,211.990396670839,"2020-02-25",65,3577.51,9,27,49,84.54,"NA","NA","NA","NA"
"ECU","Ecuador",325163,12559,12559,18430.0795893683,711.837969150476,711.837969150476,"2020-03-01",60,4974.495,-35,14,16,95.37,32.1935483870968,15,77.3156989247312,15
"EGY","Egypt, Arab Rep.",87773.5,6159,6159,857.712532900593,60.185038652153,60.185038652153,"2020-02-14",76,3640.305,30,36,39,88.75,14.1215384615385,26,45.5756983791402,26
"ERI","Eritrea",1072.5,0,0,302.417052430517,0,0,"2020-03-21",40,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"ESH","Western Sahara",139,0,0,232.702191418479,0,0,"2020-04-05",25,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"ESP","Spain",5872756.5,590467.5,590467.5,125607.608958425,12629.0287776547,12629.0287776547,"2020-02-01",89,4680.225,-1,42,58,89.41,28.2531181217902,42,82.4213678684974,41.5
"EST","Estonia",47583.5,966,966,35870.4116501663,728.210780082606,728.210780082606,"2020-02-27",63,3573.09,14,18,31,80.29,14.2579710144928,17,33.3997160444355,17
"ETH","Ethiopia",2695.5,71.5,71.5,23.446555245238,0.621936078662406,0.621936078662406,"2020-03-13",48,2932.855,3,13,26,76.19,"NA","NA","NA","NA"
"FIN","Finland",110394.5,2826.5,2826.5,19924.2228173316,510.132441318977,510.132441318977,"2020-01-29",92,4242.455,-2,47,59,75.13,12.2724637681159,46,38.7498474417693,46.5
"FJI","Fiji",502,0,0,559.990361918871,0,0,"2020-03-19",42,"NA","NA","NA","NA","NA",16.1078431372549,0,35.6774595035858,3
"FLK","Falkland Islands",232.5,0,0,66752.7993109388,0,0,"2020-04-04",26,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"FRA","France",3367382.5,495249.5,495249.5,51588.8052721907,7587.29666637211,7587.29666637211,"2020-01-24",97,5052.78,-1,52,93,93.38,26.2250896057348,52,71.642008797654,52
"FRO","Faroe Islands",7250.5,0,0,148378.184794843,0,0,"2020-03-04",57,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"GAB","Gabon",3054,55.5,55.5,1372.13531932024,24.9356615004169,24.9356615004169,"2020-03-14",47,3897.055,-52,6,27,80.42,19.1839721254355,6,33.4344541231127,6
"GBR","United Kingdom",3090735.5,454607.5,454607.5,45528.3168530586,6696.63072229145,6696.63072229145,"2020-01-31",90,3703.765,2,52,55,79.63,21.7657657657658,51,54.503975242356,51
"GEO","Georgia",10757.5,101,101,2696.67287095703,25.318518239987,25.318518239987,"2020-02-26",64,5496.43,-29,17,34,100,19.0738636363636,20,55.6953480279655,19.5
"GHA","Ghana",24138,283.5,283.5,776.817260159924,9.12369265288501,9.12369265288501,"2020-03-14",47,3393.825,-50,3,16,85.85,19.1193181818182,15,36.9454786981311,15
"GIB","Gibraltar",4139,0,0,122851.800184025,0,0,"2020-03-04",57,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"GIN","Guinea",15311.5,80.5,80.5,1165.89831012324,6.12969427978453,6.12969427978453,"2020-03-13",48,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"GLP","Guadeloupe",5233.5,285,285,13079.5972278801,712.273853051656,712.273853051656,"2020-03-13",48,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"GMB","Gambia, The",262.5,38.5,38.5,108.620809512617,15.9310520618506,15.9310520618506,"2020-03-17",44,3870.8,-39,1,11,84.78,"NA","NA","NA","NA"
"GNB","Guinea-Bissau",1438.5,4.5,4.5,730.945864782383,2.28658768962164,2.28658768962164,"2020-03-25",36,"NA","NA","NA","NA","NA",0,"NA",20.5651133751248,-3.5
"GNQ","Equatorial Guinea",2839.5,8.5,8.5,2023.89904382442,6.05851096055909,6.05851096055909,"2020-03-15",46,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"GRC","Greece",76430.5,3357,3357,7332.83021793225,322.074447263835,322.074447263835,"2020-02-26",64,4401.39,-1,17,26,87.96,20.4688187820983,17,55.7708582259023,17
"GRD","Grenada",471,0,0,4185.95970458323,0,0,"2020-03-22",39,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"GRL","Greenland",405.5,0,0,7142.60550975833,0,0,"2020-03-16",45,3821.155,-14,2,33,83.73,"NA","NA","NA","NA"
"GTM","Guatemala",7345.5,213,213,410.006560216598,11.8891018073835,11.8891018073835,"2020-03-14",47,5055.985,-53,2,35,97.35,25.7512544802867,2,58.8128706419029,2
"GUF","French Guiana",3035,10.5,10.5,10161.3086828132,35.154445195894,35.154445195894,"2020-03-07",54,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"GUY","Guyana",1662,199.5,199.5,2113.00105904325,253.63640871187,253.63640871187,"2020-03-12",49,4103.8,-54,14,28,93.38,"NA","NA","NA","NA"
"HND","Honduras",13742.5,1091.5,1091.5,1387.4855016978,110.201231588368,110.201231588368,"2020-03-11",50,4747.74,-9,5,10,100,26.0989247311828,5,69.5600685678666,5
