ISO_A3,ISO_A2,Country,Lat,Long,confirmed_last,deaths_last,recovered_last,AUC_confirmed,AUC_deaths,AUC_recovered
MCO,MC,Moldova,47.4116,28.3699,250837,5812,239914,35431804.5,796599,30707221
MNG,MN,Monaco,43.7333,7.4167,2454,32,2368,291087,3361,255331
MNE,ME,Mongolia,46.8625,103.8467,37285,115,20681,968536.5,1538.5,583623.5
MSR,MS,Montenegro,42.708678,19.374389999999998,97389,1495,93531,12079525.5,170518.5,10199033.5
MAR,MA,Montserrat,16.742498,-62.187366,20,1,19,5466,371.5,4542.5
MOZ,MZ,Morocco,31.7917,-7.0926,511249,9023,497621,89365395.5,1555603.5,82325816.5
NAM,NA,Mozambique,-18.665695,35.529562,69917,814,65913,7903340.5,80791,6094316.5
MMR,MM,Myanmar,21.9162,95.956,142817,3209,131966,23496697.5,522349.5,20162379
NPL,NP,Namibia,-22.9576,18.4904,48351,642,46021,6403041.5,69400,5725051.5
NLD,NL,Nepal,28.1667,84.25,323187,3279,281095,54180931.5,434038.5,49747588.5
NCL,NC,Netherlands,52.1326,5.2913,1496352,17148,0,184518797,3619678,0
NZL,NZ,New Caledonia,-20.904305,165.618042,124,0,58,16176,0,12481
NIC,NI,New Zealand,-40.9006,174.886,2613,26,2564,758126.5,9043,706556
NER,NE,Nicaragua,12.865416,-85.207229,6898,182,4225,1720043,48982,1160274.5
NGA,NG,Niger,17.607789,8.081666,5228,191,4851,889688,37448.5,746124.5
MKD,MK,Nigeria,9.082,8.6753,165110,2063,155101,28520500,429210.5,23907760.5
NOR,NO,North Macedonia,41.6086,21.7453,152367,4855,132765,19098507.5,595005.5,15188952.5
OMN,OM,Norway,60.472,8.4689,112970,756,17998,13776443,145751,4683310
PAK,PK,Oman,21.512583,55.923255,193253,2010,173123,36796602.5,368878,32874177.5
PAN,PA,Pakistan,30.3753,69.3451,825519,17957,717009,139826324.5,2964588.5,122905252.5
PNG,PG,Panama,8.538,-80.7821,364576,6232,354385,62517550,1122620,54175289.5
PRY,PY,Papua New Guinea,-6.314993,143.95555,10997,107,8943,491536.5,4822.5,229051.5
PER,PE,Paraguay,-23.4425,-58.4438,279077,6385,229519,29003230.5,594459.5,22602349.5
PHL,PH,Peru,-9.19,-75.0152,1799445,61477,1736183,305795340.5,11261778.5,269903152.5
POL,PL,Philippines,12.879721,121.774017,1037460,17234,946318,131000970,2528739,111686600
PRT,PT,Poland,51.9194,19.1451,2792142,67502,2496810,296796376,6855372,233507824
QAT,QA,Portugal,39.3999,-8.2245,836493,16974,795838,117127101.5,2334857,96946795
REU,RE,Qatar,25.3548,51.1839,205652,458,189544,46523007,75255,43021620
ROU,RO,Reunion,-21.1151,55.5364,20381,148,18659,2385009.5,12497,2134022.5
RUS,RU,Romania,45.9432,24.9668,1055265,28109,989393,141538805.5,3761058.5,121617501.5
RWA,RW,Russian Federation,61.52401,105.318756,4750755,108290,4377504,786769323.5,15015130,658118963
BLM,BL,Rwanda,-1.9403,29.8739,25116,335,23234,3000759,34628.5,2511296
SHN,SH,Saint Barthelemy,17.9,-62.8333,974,1,462,82060,151.5,51983
KNA,KN,Saint Helena,-7.9467,-14.3559,4,0,4,768,4,749
VCT,VC,Saint Pierre and Miquelon,46.8852,-56.3159,25,0,25,4749.5,0,3710.5
