Country.Region,b,Asym,xmid,P(b),P(Asym),Pxmid,dev,converged,iter
Paraguay,0.047220390164416,430.677870490354,18365.3520159788,2.40731410043402E-26,3.24923494390369E-18,9.44446977437543E-261,1294.7145250354,1,15
Peru,0.067571789420494,51105.1840927819,18373.2539997142,1.88817971912985E-22,1.65896335046481E-10,1.4365789536904E-262,4263129.13566116,1,23
Philippines,0.086554914208352,8056.72097480115,18356.1126347097,2.95673882262616E-43,1.43958492353685E-52,3.7125e-319,752681.26871658,1,15
Poland,0.061227522616914,16612.667232013,18362.6842425031,1.75708931680147E-67,2.4852898288158E-61,1.6087e-320,243465.336316431,1,12
Portugal,0.084867788642337,25927.7752107158,18354.8572507354,2.32440044316353E-76,6.83142959809137E-88,0,1382463.32541708,1,20
Qatar,0.010788573706581,10346053.4603867,18558.5647692026,0.00106110041248,0.688897816555122,1.74829412343888E-119,869500.047610573,0,50
Romania,0.061417201559103,16071.6833051748,18363.0297803701,8.49124059132652E-72,3.60837698765912E-65,0,170619.584123425,1,12
Russia,0.018502297741067,46532884.131354,18476.2488326212,1.13528933720967E-30,0.025507303468413,2.35371803710204E-202,1420441.13637292,0,50
Rwanda,0.099118372454132,159.936818045545,18349.1372644091,2.381826259166E-51,1.50135946320853E-75,0,453.176409692175,1,13
Saint Kitts and Nevis,0.186281651931801,13.9608294432274,18350.8939117153,3.97486244286324E-26,2.84742025575456E-65,0,23.4436625067411,1,17
Saint Lucia,0.283528912776387,15.1465854852103,18348.371170472,1.77330404041112E-16,3.15877359608213E-67,0,70.4399066500545,1,36
Saint Vincent and the Grenadines,0.319937943190207,12.4413255536934,18355.5451546829,8.87004246981693E-18,3.21790263131951E-62,0,30.1780308112604,1,20
San Marino,0.039357579765487,732.565159155857,18355.0057831033,2.72151584693905E-20,6.48635728692275E-18,1.67382120151327E-250,18379.6767843335,1,18
Sao Tome and Principe,22.2858241288532,4,18357.1307571483,5.59943138874888E-79,0,0,1.80628071810614E-15,0,50
Saudi Arabia,0.011048988455302,24355008.0706856,18558.466885116,0.000134981399654,0.651073511108708,5.04535303438896E-126,1438518.59001946,0,50
Senegal,0.070829011134008,453.399159000945,18352.2825663743,7.57639422238047E-45,9.28482816512995E-55,7.830488873e-314,2769.39611368792,1,13
Serbia,0.043100070653582,28525.8279771656,18380.3157796032,4.20154362092801E-47,4.3372769540835E-23,2.2225479004723E-272,134903.673897629,1,16
Seychelles,0.143485766638716,11.1421159360788,18339.0721676863,3.25231095769922E-29,1.3114996328868E-75,0,19.9282169012658,1,16
Sierra Leone,0.0241778055823,19970.4582975172,18447.9519020497,0.136330179549166,0.836292831808108,7.03342552707098E-121,114.9089104627,0,50
Singapore,0.012944847158777,13267419.7476739,18528.6804603014,0.06200714474434,0.82577330128347,2.65544834267878E-104,2849092.61529159,0,50
Slovakia,0.03133071162832,4512.54637863738,18381.7548734089,6.01081224718003E-22,2.2123406732912E-08,3.08728041230293E-230,32211.8465626177,1,17
Slovenia,0.07515111005225,1564.29653530361,18346.555406838,2.57944838597957E-65,1.01921496750148E-84,0,18592.1806755351,1,15
Somalia,0.036913596527271,28221.3247651937,18415.365014374,0.001197511016017,0.574020831561637,4.30936963129346E-169,697.085463784041,1,49
South Africa,0.066626347499391,3978.27631816046,18354.6451380888,1.33220794489265E-19,1.275738712988E-23,5.04876570122268E-276,871868.104806655,1,12
South Sudan,0.498144342380857,4.11872605830421,18358.467147632,4.31522534761828E-29,1.80153258398718E-85,0,1.07106242182304,1,34
Spain,0.090592448192784,226161.936370121,18350.4359295418,5.62308472998503E-77,4.07925231314726E-97,0,176171993.269179,1,12
Sri Lanka,0.066194207903574,314.786194293062,18348.9827788135,1.1698422610853E-30,1.06861943842608E-41,2.47411517039057E-296,4190.85587983226,1,12
Sudan,0.012918356778628,768051.295341534,18545.054414368,0.331273154421787,0.92495341315139,1.11959205419404E-77,619.62389803873,0,50
Suriname,0.237520932463816,10.0868471198771,18341.6566776869,6.36036373595282E-36,2.82482576239531E-96,0,9.06612305185674,1,15
Sweden,0.036989995946967,43583.6668752102,18373.700940168,1.78561393879852E-48,5.0427483692556E-30,1.89946876349002E-272,1197723.5293488,1,14
Switzerland,0.099112391760027,30142.0567145381,18346.4301693842,3.38721518582761E-90,4.02815500872826E-119,0,2356637.83488461,1,19
Syria,0.055622470571767,80.7942064965195,18365.753753554,2.2752760500265E-13,8.82611098980622E-09,5.2953268908371E-246,131.637850445501,1,12
Taiwan*,0.105996020693462,431.67516667228,18341.5993892219,5.78872164288267E-24,6.32932848115465E-56,8.223849e-317,34432.2073347974,1,31
Tanzania,0.016210499419104,3952560.68976977,18513.403615014,0.360226140085447,0.933035342616216,3.69185794801116E-83,4054.30535988715,0,50
Thailand,0.115992039967264,2944.4517776341,18347.2741180241,9.76592735042496E-67,1.34755111867945E-99,0,86689.5138227606,1,18
Timor-Leste,0.529237199567434,21.4913056327758,18366.2338710195,3.85502798130246E-10,2.21456269928294E-29,0,53.1731606465842,1,32
Togo,0.078711143664249,114.75785765188,18353.7529192563,2.98560682701294E-22,1.31447517075596E-30,4.03897106208247E-290,758.45576930903,1,15
Trinidad and Tobago,0.166362896460437,115.113511122378,18343.6415086049,3.9159637674613E-38,3.21883251302266E-86,0,1019.00383485603,1,13
Tunisia,0.101939085528406,978.000435049409,18351.581016489,5.84527964808025E-51,2.46739521827962E-72,0,14139.104631149,1,15
Turkey,0.069834098287385,174094.034570015,18365.796542049,8.0595870002884E-80,2.3460992650632E-70,0,8244703.46747235,1,10
Uganda,0.251972673206371,55.1916198353631,18347.4252366721,1.76993365088236E-54,1.82455424292604E-112,0,76.126983185818,1,14
Ukraine,0.028567290323262,119111.345758679,18410.3280826663,2.46586296090919E-23,0.000626916290091,2.76556048745977E-218,175152.427842893,1,26
United Arab Emirates,0.063536994703531,17635.429799049,18369.9403321891,3.90612924891581E-39,1.38375985652944E-25,7.62509564952346E-285,377950.219557693,1,18
United Kingdom,0.060649977084992,241544.990267053,18365.151606142,3.25578827211482E-74,1.60235164978692E-64,0,23952277.0772658,1,16
United Kingdom_Anguilla,0.499295030612527,2.99469419074416,18348.8772936497,9.71683416047792E-17,2.95551211604768E-81,0,1.93264554654196,1,18
United Kingdom_Bermuda,0.044004909000132,236.360933013296,18371.2523575354,9.94646140234116E-10,8.86178423387724E-05,6.35169656248532E-224,848.489450190533,1,17
United Kingdom_British Virgin Islands,0.681460248897749,3.173863137395,18348.8433009662,2.84669970253189E-10,1.28171135721118E-74,0,3.54845335684908,1,21
United Kingdom_Cayman Islands,0.12302337051637,69.7326467599219,18354.1718612759,1.57329234510259E-30,2.50557864269131E-51,0,231.073393854261,1,18
United Kingdom_Channel Islands,0.11902197245777,559.135039312303,18353.6873685262,1.79434508629099E-51,3.07396710366864E-74,0,4189.66149271731,1,16
United Kingdom_Falkland Islands (Malvinas),0.151671356546031,15.9946156726594,18362.8969783226,4.73577871546162E-09,7.17376192701373E-13,3.44275497440728E-287,26.9463434841043,1,26
United Kingdom_Gibraltar,0.151646914264114,139.994851947815,18348.7711014609,4.05403410176752E-51,1.72970849211013E-90,0,509.219761762793,1,15
United Kingdom_Isle of Man,0.090507333477599,429.513578222183,18359.0033603182,4.14136150245427E-45,7.652126478392E-51,4.2114e-320,1327.33649892263,1,14
United Kingdom_Montserrat,0.085569477049559,14.0561480409635,18352.4026806119,5.29657310724687E-16,4.71768326677693E-26,5.87249489372705E-286,24.9962273553684,1,12
United Kingdom_Turks and Caicos Islands,0.129540676816805,11.8925575683884,18352.8210993652,7.17352038563225E-16,1.15732305934849E-35,1.4707320754240696e-308,26.3639298586861,1,16
Uruguay,0.117782669098271,537.654940228044,18346.0461285358,5.63819921515777E-59,7.4374492126226E-94,0,4915.96121807438,1,14
US,0.074265201920387,1171183.26268268,18360.0602113094,1.82136966990455E-97,6.42514380630209E-98,0,392225979.967,1,12
Uzbekistan,0.051946173429391,6636.22002067112,18377.4567998646,6.20536742824815E-19,4.27357491691814E-07,1.55634881864593E-244,56777.1220095046,1,20
Venezuela,0.09393825205372,229.965673808362,18345.5923085511,7.04497728880674E-29,1.68582108980281E-53,2.38300776e-316,4785.06502447917,1,13
Vietnam,0.086226757006608,305.398082677325,18341.9930034209,1.78196035717384E-28,1.92116388528207E-54,2.91873147056e-313,10292.5797214481,1,24
West Bank and Gaza,0.03283920374135,1577.36439282167,18378.9126948904,1.17642576692616E-13,2.76278668978822E-05,1.13806335994116E-218,11428.4536443838,1,14
Western Sahara,0.36888000742539,5.91825971824574,18356.9777196823,3.02602423320842E-12,2.2726564769403E-53,0,11.080398972064,1,33
Yemen,21.4176813853702,1,18361.1342445953,5.16259472111854E-81,0,0,4.77121398499599E-16,0,50
Zambia,0.20285442640513,47.9237829476028,18347.3614262764,1.08000155782505E-18,1.96964469846664E-62,0,622.797016778629,1,22
Zimbabwe,0.023684018153337,323.794325870201,18410.1626392266,3.55270328741244E-05,0.189867299513696,4.9143500216023E-171,67.252979507794,1,26
