Country.Region,b,Asym,xmid,P(b),P(Asym),Pxmid,dev,converged,iter
France_St Martin,0.103860922791401,41.895387069637,18350.1349211663,1.7224951954954E-21,3.10963752737786E-41,2.9845139588266163e-308,208.513059733348,1,16
Gabon,0.01370671629873,213055.778475069,18518.2213938085,0.014336123851628,0.766322216560955,4.71283705294222E-117,601.575822424515,0,50
Gambia,0.031386057702366,39.6391456339746,18380.9440322023,0.00079953195607,0.096167156664438,1.77376419205651E-181,38.5950738509116,1,19
Georgia,0.01828940412646,7946.02849419239,18430.8427955323,8.50518699162069E-22,0.000999092682195,1.0468326420036E-199,1678.78223423391,1,21
Germany,0.090430650016405,168808.837669961,18350.0025585472,1.32525108113378E-86,2.05956476093256E-107,0,60540727.3617773,1,10
Ghana,0.012318417257771,1113434.49000573,18530.0719338138,0.038705158175745,0.792589647908364,3.18161309074328E-107,69362.4748942403,0,50
Greece,0.077393631004941,2750.33611465503,18347.7745172188,1.74733959152832E-56,5.18142356249808E-75,0,87643.5777590644,1,20
Grenada,0.221270052784726,13.8923469743177,18347.5831777643,3.05513205715253E-27,4.30454929409375E-77,0,26.423072020754,1,16
Guatemala,0.017830072678284,26372.1216019642,18456.9709257542,2.87542620860945E-08,0.266675893175726,1.55967991453125E-165,1224.79431238243,1,32
Guinea,0.055176778149985,2538.54619827717,18378.2444265073,4.25412051802637E-26,6.37382936600234E-10,1.4571082872643E-256,3312.53576734323,1,20
Guinea-Bissau,0.167037661754893,50.5659164420315,18356.1630497941,4.37869774480144E-26,1.15516335841692E-51,0,174.875113878896,1,19
Guyana,0.026835452469619,559.227403781404,18398.8890792385,0.000123450793432,0.164091524307931,4.92112381024471E-175,681.687780977279,1,17
Haiti,0.064594575506602,76.1938829972567,18360.1069683416,1.95949037055735E-29,6.59296885895013E-28,3.2714480568205E-283,73.6338930220774,1,14
Holy See,0.179493899924317,8.17637659492762,18344.9955537369,2.91383176206321E-19,1.94900493268204E-62,0,18.8843227577312,1,29
Honduras,0.11933396382321,521.476833547248,18353.5286671395,6.30646042947203E-53,3.90309111962062E-76,0,3421.60492277123,1,15
Hungary,0.043138825517435,6071.05928978645,18373.9299130697,8.4919530322176E-29,1.36929810240044E-14,8.2635764069471E-255,62497.128262308,1,18
Iceland,0.103017079000929,1957.2171383956,18345.4286729909,5.27606291656478E-59,4.860819388335E-90,0,61086.6688359829,1,18
India,0.047730017678507,82170.5190741127,18380.3476814293,3.4888119915924E-39,8.1591024393356E-17,1.05350911265874E-266,1326869.74190826,1,20
Indonesia,0.02886925823144,52459.5941640967,18396.1807535713,1.78103806691847E-41,6.33263508616459E-14,1.35498881178342E-246,162708.786620952,1,20
Iran,0.049016065637001,128851.414816379,18353.3937306639,3.42347770642552E-43,2.48881052338209E-44,1.57318697973035E-291,158426585.951498,1,13
Iraq,0.06788623679716,2176.18812303258,18354.007253653,4.16971732307567E-38,1.30536239696572E-44,3.23404698471732E-302,76490.8604550685,1,20
Ireland,0.029068931699494,150898.026088289,18398.9482230453,5.42058604668853E-21,7.93236430425439E-05,1.87921611985608E-219,3207598.6411108,1,19
Israel,0.104884261028572,15376.326706265,18352.4919206511,2.28025284083552E-67,1.00953407441623E-88,0,1301253.19465723,1,12
Italy,0.069614807971498,211793.720793709,18346.8004993836,3.55142002773702E-85,3.03877342590481E-102,0,104135781.794947,1,11
Jamaica,0.008384648176184,1583578.89920299,18635.8420204603,0.229714267903676,0.904938117662587,4.0410530059326E-70,4593.23569590464,0,50
Japan,0.009857224687919,23487996.3979991,18577.6378585214,0.000353860099395,0.664226328243829,1.72102480805871E-119,3193217.61648892,0,50
Jordan,0.128451897232907,422.772806424217,18345.0318495577,4.07082815855745E-64,1.28215309843341E-103,0,2577.55522680065,1,14
Kazakhstan,0.036749408241472,9086.50837605432,18385.1295237063,4.21780902869545E-21,1.22193439437207E-06,2.18745459994798E-232,50218.8234586796,1,18
Kenya,0.106821998014732,309.346190829233,18355.2171002574,1.20251121030466E-35,3.01394955354934E-51,2e-323,2475.53276472913,1,15
"Korea, South",0.125701773303238,10186.7177113165,18322.1878813191,1.9053355984923E-42,5.06943246676247E-100,0,10669004.046764,1,13
