Id_data;Date;Observateur;Id_site;Etat_bio;Etat;Biotope;Site;Gps_latitude;Gps_longitude;Id_ecoute;Duree;Time;Protocol;Regne;Famille;Genre;Espece;Nom_sc;Nom_co;Taxonomic Order;Count
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE4;5;6:46 AM;eBird - Stationary Count;Animalia;Tyrannidae;Contopus;latirostris;Contopus latirostris;Moucherolle gobemouche;16158;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE6;5;6:57 AM;eBird - Stationary Count;Animalia;Tyrannidae;Contopus;latirostris;Contopus latirostris;Moucherolle gobemouche;16158;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE4;5;6:46 AM;eBird - Stationary Count;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;3
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE5;5;6:52 AM;eBird - Stationary Count;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;4
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE6;5;6:57 AM;eBird - Stationary Count;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;5
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE6;5;6:57 AM;eBird - Stationary Count;Animalia;Icteridae;Quiscalus;lugubris;Quiscalus lugubris;Quiscale merle;32612;2
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE5;5;6:52 AM;eBird - Stationary Count;Animalia;Parulidae;Setophaga;plumbea;Setophaga plumbea;Paruline caféiette;32769;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE6;5;6:57 AM;eBird - Stationary Count;Animalia;Parulidae;Setophaga;plumbea;Setophaga plumbea;Paruline caféiette;32769;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE4;5;6:46 AM;eBird - Stationary Count;Animalia;Parulidae;Setophaga;petechia;Setophaga petechia;Paruline jaune;32798;1
;19/04/2021;Anthony LEVESQUE;B0BA;B0;0;B;MAE_Babin;16.3402269;-61.5223364;B0BAE5;5;6:52 AM;eBird - Stationary Count;Animalia;Parulidae;Setophaga;petechia;Setophaga petechia;Paruline jaune;32798;1
