Id_data;Id_Site;Etat;Biotope;Regne;Famille;Genre;Espece;Nom_sc;Poids_individu_g;Taille_corps_cm;Taille_queue_cm;Observation;Index;;;;;;;;;;;;Count
INSULAMI89;C1SF;degrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;149;19;23,5;;MI_025;;;;;;;;;;;;
INSULAMI90;C1SF;degrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;76;15;17;;MI_025;;;;;;;;;;;;
INSULAMI91;C1SF;degrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;156;19;20,5;;MI_025;;;;;;;;;;;;
INSULAMI92;C1SF;degrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;105;15;16,5;;MI_025;;;;;;;;;;;;
INSULAMI93;C1SF;degrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;153;19,5;21;;MI_025;;;;;;;;;;;;
INSULAMI94;C1SF;degrade;M;Animalia;Muridae;Rattus;norvegicus;Rattus norvegicus;123;18,5;15;;MI_025;;;;;;;;;;;;
INSULAMI95;C1GB;degrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;88;14;17,5;;MI_026;;;;;;;;;;;;
INSULAMI96;B1RO;degrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;118;18;20,5;;MI_027;;;;;;;;;;;;
INSULAMI97;B1RO;degrade;FM;Animalia;Muridae;Rattus;norvegicus;Rattus norvegicus;128;19;15;;MI_027;;;;;;;;;;;;
INSULAMI98;B1RO;degrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;156;19,5;22;;MI_027;;;;;;;;;;;;
INSULAMI99;B1RO;degrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;166;19,8;23,5;;MI_027;;;;;;;;;;;;
INSULAMI100;B1PI;degrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;172;19,6;21,5;;MI_028;;;;;;;;;;;;
INSULAMI101;B1PI;degrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;127;19,3;20;;MI_028;;;;;;;;;;;;
INSULAMI102;B1BPR;degrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;121;19;21;;MI_029;;;;;;;;;;;;
INSULAMI103;B1BPR;degrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;110;18;20;;MI_029;;;;;;;;;;;;
INSULAMI104;B1BPR;degrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;169;20;21;;MI_029;;;;;;;;;;;;
INSULAMI105;B0BP;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;156;20;20,5;;MI_030;;;;;;;;;;;;
INSULAMI106;B0BP;nndegrade;FM;Animalia;Muridae;Rattus;rattus;Rattus rattus;159;18;18,5;;MI_030;;;;;;;;;;;;
INSULAMI107;C1PO;degrade;M;Animalia;Muridae;Rattus;norvegicus;Rattus norvegicus;92;14,5;16,5;;MI_031;;;;;;;;;;;;
