ident,enqueteur,c1,c2,c3,c4,c5,c6,sexe,age,ann_insta,commun_exp,form_gen,form_agri,pc_fvd,pc_ferm,adh_group,adh_sica,adh_cuma,sau,s_ignames,s_autr_tuber,s_banane,s_canne,s_prairie,s_meca,conduite_ig,acti_agri,uth,uth_ig,success,revenu_agri,ig_annees,ig_prod_prin,ig_part_revenu,ig_lev_rev,ig_lev_diversif,ig_chaque_ann,ig_nb_var_cult,ig_semenceau,ig_assoc_var,ig_fr_maladie,ig_fr_temps_trav,ig_fr_dispo_plant,ig_fr_cout_prod,ig_fr_vol,ig_fr_eau,ig_fr_cons_plant,pb_dispo_sem,ig_av_s2,ig_av_nb_var,attri_cout,attri_nb_var,attri_dispo,attri_engage,Q4-03,Q4-06,Q4-09,Q4-13,Q4-15,Q4-18,Q4-22,Q4-24,fut_acha_sem_qual,futur_prod_ig971,futur_conso_ig971
BM81,BM,0,0,0,0,0,0,H,75,1985,GOYAVE,Primaire,Sur le tas,0.00%,100.00%,0,0,0,6.00,1.50,0.00,0.50,0.00,0.00,4.00,TUTEUREE,100%,2.00,1.50,1,0-25,34,0,0-25,0,1,1,4,PRODUCTION PERSONNELLE,1,0,1,0,0,0,0,0,0,MAINTIEN,AUGMENTATION,2,4,1,3,1,1,0,1,0,0,0,0,0%,AUGMENTATION,AUGMENTATION
BM82,BM,0,2,0,0,1,1,H,53,2003,SAINTE ROSE,Secondaire court,Sur le tas,100%,0.00%,0,1,0,5.00,0.20,0.50,0.00,1.00,0.00,5.00,TUTEUREE,100%,1.00,0.20,0,25-50,4,0,0-25,1,0,0,3,COMMERCE,1,1,0,0,0,0,1,0,1,NSP,NSP,4,2,1,3,1,1,1,1,0,1,1,1,50%,AUGMENTATION,AUGMENTATION
BM83,BM,0,0,0,0,0,0,F,67,1988,BAIE MAHAULT,Secondaire court,Sur le tas,0.00%,100.00%,0,0,1,10.55,0.50,0.15,0.00,9.00,0.00,8.00,TUTEUREE,100%,1.40,0.40,1,75-100,30,0,25-50,0,0,1,5,PRODUCTION PERSONNELLE,1,1,0,0,0,0,0,0,0,REDUCTION,AUGMENTATION,1,2,4,3,1,1,1,1,1,0,0,0,0%,AUGMENTATION,AUGMENTATION
BM84,BM,2,2,0,1,1,1,H,70,1980,SAINTE ROSE,Primaire,Sur le tas,0.00%,0.00%,0,0,0,1.00,0.30,0.00,0.00,0.00,0.00,1.00,TUTEUREE,20%,1.00,0.30,1,0-25,38,1,0-25,0,0,1,2,AUTRES AGRICULTEURS,1,0,0,0,0,0,1,0,1,AUGMENTATION,AUGMENTATION,2,4,1,3,1,1,1,1,1,1,1,1,50%,AUGMENTATION,AUGMENTATION
BM85,BM,0,1,0,2,0,0,H,62,1992,BAILLIF,Primaire,Sur le tas,0.00%,100.00%,1,0,0,1.00,0.20,0.30,0.00,0.00,0.00,1.00,LES DEUX,100%,1.00,0.20,0,0-25,1,0,0-25,0,1,0,5,PRODUCTION PERSONNELLE,0,1,0,0,0,0,0,0,1,AUGMENTATION,AUGMENTATION,1,2,3,4,1,1,1,1,1,0,1,1,25%,BAISSE,AUGMENTATION
BM86,BM,2,2,1,1,1,2,H,56,1987,VIEUX HABITANTS,Secondaire court,Sur le tas,100%,0.00%,1,0,0,2.50,0.20,0.20,0.50,0.00,0.50,0.00,A PLAT,100%,1.00,0.20,1,75-100,10,0,0-25,1,0,1,3,AUTRES AGRICULTEURS,0,1,0,0,0,0,0,0,1,MAINTIEN,MAINTIEN,3,1,2,4,1,1,1,1,1,1,0,1,100%,BAISSE,PAS DE CHANGEMENT
BM87,BM,2,2,0,1,1,1,H,54,1990,TROIS RIVIERES,Primaire,Sur le tas,100%,0.00%,0,0,0,1.00,0.50,0.00,0.00,0.00,0.00,0.00,TUTEUREE,60%,0.50,0.40,0,0-25,20,1,25-50,0,0,1,5,PRODUCTION PERSONNELLE,1,1,0,0,0,0,0,0,0,MAINTIEN,AUGMENTATION,4,1,2,3,1,1,1,1,1,0,1,1,75%,BAISSE,AUGMENTATION
BM88,BM,2,2,1,1,0,0,H,48,1990,BAILLIF,Secondaire court,Sur le tas,0.00%,100.00%,0,0,0,1.00,0.30,0.25,0.00,0.00,0.00,1.00,A PLAT,100%,1.00,0.50,0,25-50,10,0,0-25,0,0,1,1,PRODUCTION PERSONNELLE,0,0,0,0,0,0,0,0,0,MAINTIEN,AUGMENTATION,3,2,1,4,1,1,0,1,1,1,1,1,50%,BAISSE,PAS DE CHANGEMENT
BM89,BM,0,2,1,1,1,0,H,44,2003,GRAND BOURG,Superieur,Sur le tas,0.00%,100.00%,0,1,0,2.50,0.20,0.00,0.20,1.60,0.00,2.50,TUTEUREE,20%,1.00,0.20,0,0-25,10,0,0-25,0,0,1,3,AUTRES AGRICULTEURS,1,0,0,0,0,0,1,0,1,AUGMENTATION,AUGMENTATION,4,2,1,3,1,1,1,1,1,1,1,1,100%,AUGMENTATION,AUGMENTATION
BM90,BM,1,2,2,2,0,1,F,46,2000,LE MOULE,Secondaire long,Sur le tas,0.00%,0.00%,0,0,0,2.00,0.50,0.25,0.00,0.00,0.00,2.00,A PLAT,100%,1.00,0.50,0,0-25,18,1,25-50,1,0,1,3,PRODUCTION PERSONNELLE,1,0,1,0,1,0,0,0,0,NSP,AUGMENTATION,2,4,3,1,1,1,0,1,0,0,0,0,75%,BAISSE,AUGMENTATION
